회차,추첨일,조,당첨번호
138,20221222,1,393066
137,20221215,1,873784
136,20221208,5,587411
135,20221201,2,400876
134,20221124,1,47022
133,20221117,1,107523
132,20221110,1,338822
131,20221103,5,852265
130,20221027,3,737747
129,20221020,1,619003
128,20221013,3,923864
127,20221006,3,905658
126,20220929,5,559830
125,20220922,5,845390
124,20220915,5,311244
123,20220908,3,938423
122,20220901,1,16841
121,20220825,5,444520
120,20220818,2,218556
119,20220811,4,88257
118,20220804,1,929977
117,20220728,4,269117
116,20220721,2,641770
115,20220714,2,749063
114,20220707,2,699286
113,20220630,3,248855
112,20220623,3,802007
111,20220616,1,393588
110,20220609,5,542980
109,20220602,3,164115
108,20220526,3,605195
107,20220519,3,192750
106,20220512,5,307695
105,20220505,1,180506
104,20220428,2,689922
103,20220421,4,786276
102,20220414,3,30569
101,20220407,4,68561
100,20220331,4,419399
99,20220324,3,202997
98,20220317,4,707437
97,20220310,1,783688
96,20220303,2,330481
95,20220224,5,841331
94,20220217,1,807121
93,20220210,4,180249
92,20220203,4,487381
91,20220127,3,586054
90,20220120,5,235858
89,20220113,4,585449
88,20220106,2,329695
87,20211230,4,740942
86,20211223,5,950320
85,20211216,5,338407
84,20211209,4,580148
83,20211202,3,136128
82,20211125,4,935053
81,20211118,1,971511
80,20211111,1,641358
79,20211104,5,408379
78,20211028,2,515884
77,20211021,5,436305
76,20211014,1,890966
75,20211007,3,658340
74,20210930,2,256789
73,20210923,1,501026
72,20210916,2,114687
71,20210909,1,159486
70,20210902,1,248672
69,20210826,4,775530
68,20210819,5,191075
67,20210812,3,807531
66,20210805,4,990834
65,20210729,4,732375
64,20210722,5,676003
63,20210715,4,335226
62,20210708,4,14073
61,20210701,3,575862
60,20210624,5,216510
59,20210617,2,159056
58,20210610,5,939327
57,20210603,2,272286
56,20210527,1,993174
55,20210520,1,477879
54,20210513,5,627054
53,20210506,5,649638
52,20210429,2,597227
51,20210422,2,510012
50,20210415,3,592111
49,20210408,4,305248
48,20210401,1,779363
47,20210325,4,941327
46,20210318,4,10963
45,20210311,2,318754
44,20210304,3,668818
43,20210225,4,589839
42,20210218,4,974231
41,20210211,1,742714
40,20210204,2,631086
39,20210128,1,199137
38,20210121,3,307836
37,20210114,3,453877
36,20210107,4,735757
35,20201231,1,542454
34,20201224,4,977686
33,20201217,4,596219
32,20201210,1,579176
31,20201203,1,771598
30,20201126,3,487215
29,20201119,4,355192
28,20201112,5,80839
27,20201105,5,412008
26,20201029,3,192856
25,20201022,3,463637
24,20201015,2,2989
23,20201008,4,158071
22,20201001,1,913622
21,20200924,1,239937
20,20200917,1,819605
19,20200910,5,859219
18,20200903,1,562222
17,20200827,3,317227
16,20200820,4,664056
15,20200813,4,477238
14,20200806,3,432496
13,20200730,1,669245
12,20200723,5,76676
11,20200716,1,867654
10,20200709,2,770173
9,20200702,3,133510
8,20200625,4,234058
7,20200618,2,597093
6,20200611,5,193202
5,20200604,4,754655
4,20200528,4,124420
3,20200521,4,544955
2,20200514,2,450558
1,20200507,4,162132
